product_id,title,category
fk-001,Strauss Resistance Bands Set (Pack of 5),Sports & Fitness
fk-002,Sapiens: A Brief History of Humankind,Books & Education
fk-003,JBL Tune 230NC TWS TWS Earbuds with Active Noise Cancellation,Electronics
fk-004,Lizol Disinfectant Surface Cleaner 975ml | Citrus,Grocery & Household
fk-005,MDH Biryani Masala 50g,Grocery & Household
fk-006,Asus TUF Gaming F15 Snapdragon 7c Gen 2 14 inch FHD Laptop (8GB/256GB SSD),Electronics
fk-007,Pigeon Omega Deluxe granite-coated Roti Tawa (24cm/28cm) | Sturdy Handle,Home & Kitchen
fk-008,MyProtein Raw Whey Isolate 500g (Rich Chocolate) | No Added Sugar,Sports & Fitness
fk-009,Prestige 500W Mixer Grinder | Stainless Steel Blades | 3 Jars | 2-Year Warranty,Home & Kitchen
fk-010,OnePlus 12R 5G 6GB/128GB - Silver,Electronics
fk-011,Slurrp Farm Baby Cereal Multigrain Cereal 300g,Baby & Kids
fk-012,Saffola Rice Bran Oil 1L | Heart-Healthy,Grocery & Household
fk-013,Butterfly 5L Hard Anodised Pressure Cooker - Induction Base | 10-Year Warranty,Home & Kitchen
fk-014,Boldfit Skipping Rope with Counter,Sports & Fitness
fk-015,Ishin Women's Straight Kurta with Palazzo & Dupatta Set (Maroon),Fashion
fk-016,Early Foods Baby Cereal Multigrain Cereal 300g,Baby & Kids
fk-017,"Campus Women's Walking Shoes (Coral Pink, UK 5)",Fashion
fk-018,Butterfly 750W Mixer Grinder | Stainless Steel Blades | 3 Jars | 2-Year Warranty,Home & Kitchen
fk-019,Ishin Rayon Flared Kurti for Women | Pure Cotton | Pink,Fashion
fk-020,Cello Stainless Steel Water Bottle 1L (Smoky Teal),Home & Kitchen
fk-021,NCERT Chemistry Concepts for JEE Main & Advanced (Latest Edition 2024-25),Books & Education
fk-022,NCERT Exemplar Problems-Solutions Mathematics Class 12 | Drishti,Books & Education
fk-023,Aashirvaad Kachi Ghani Mustard Oil 1L Bottle,Grocery & Household
fk-024,OnePlus Nord CE 3 Lite 5G (Blue) 12GB/256GB Storage | 120Hz AMOLED,Electronics
fk-025,Anni Designer Georgette Saree with Blouse Piece (Green),Fashion
fk-026,Rich Dad Poor Dad - 25th Anniversary Edition,Books & Education
fk-027,Classmate Long Notebook 172 Pages (Pack of 6),Baby & Kids
fk-028,Milton Omega Deluxe hard-anodised Wok (28cm) | Sturdy Handle,Home & Kitchen
fk-029,Milton Omega Deluxe granite-coated Tawa (28cm) | Sturdy Handle,Home & Kitchen
fk-030,Mivi Rock X1 Bluetooth Headset (Black),Electronics
fk-031,"POCO V29e 5G (Green, 8GB/256GB) | 50MP Triple Cam | 5000mAh",Electronics
fk-032,SIRIL Women's Cotton Blend Saree with Unstitched Blouse | Gold,Fashion
fk-033,L'Oreal onion hair fall shampoo (200ml) | SLS-Free | Paraben-Free,Beauty & Personal Care
fk-034,Mivi DuoPods A25 with Mic | 42H Playtime | IPX5 Water-Resistant (Smoky Teal),Electronics
fk-035,Ambrane 20000mAh Power Bank with 20W Fast Charging (Black),Electronics
fk-036,"Samsung Galaxy M34 5G (Silver, 8GB/128GB) | 50MP Triple Cam | 5000mAh",Electronics
fk-037,Pigeon Popular Hard Anodised Pressure Cooker 3L | ISI Certified,Home & Kitchen
fk-038,Lucent's General Knowledge (2024 Edition) | Pearson,Books & Education
fk-039,Tata Kachi Ghani Mustard Oil 1L Bottle,Grocery & Household
fk-040,MuscleBlaze Vitamin D3 + K2 Supplement 120 Capsules,Sports & Fitness
fk-041,AKS Women's Embroidered Kurti Pant Set - Navy Blue (Size Free Size),Fashion
fk-042,Strauss Hand Gripper 3-in-1 Set,Sports & Fitness
fk-043,Classmate Ball Pen Pack of 20 - Blue Ink,Baby & Kids
fk-044,L'Oreal anti-hair fall shampoo 340ml,Beauty & Personal Care
fk-045,Nestum Baby Cereal Organic Millet Porridge Mix 200g,Baby & Kids
fk-046,Lego Musical Learning Toy for Toddlers 12M+,Baby & Kids
fk-047,Amazon Brand - Solimo Stainless Steel Jar Set with Lid - 500ml + 750ml + 1L (Pack of 5),Home & Kitchen
fk-048,"Dell Inspiron 15 (AMD Ryzen 5 5500U, 16GB, 256GB SSD) Thin & Light Laptop",Electronics
fk-049,Redmi 13C 5G (Phantom Black) 6GB/128GB Storage | 120Hz AMOLED,Electronics
fk-050,Belkin Dual Port 67W Charger + Type-C/Lightning 1m Cable Combo,Electronics
