product_id,title
amz-001,Wireless Bluetooth Earbuds with Charging Case
amz-002,Insulated Stainless Steel Water Bottle 1 Litre
amz-003,Men Running Shoes Lightweight Trainers
amz-004,Women Cotton Kurti Set
amz-005,Samsung Galaxy M14 5G 128GB Dark Blue
amz-006,Samsung Galaxy S23 Ultra 256GB Phantom Black
amz-007,iPhone 15 Pro Max 256GB Natural Titanium
amz-008,Noise Buds VS104 Bluetooth Truly Wireless Earbuds
amz-009,boAt Airdopes 141 TWS Earbuds with 42H Playtime
amz-010,Sony WH-1000XM5 Wireless Noise Cancelling Headphones
amz-011,Nike Revolution 6 Running Shoes for Men
amz-012,Adidas Ultraboost Light Running Shoes Men
amz-013,Puma Softride Rift Slip-On Walking Shoes
amz-014,Women Sports Running Shoes Lightweight Mesh
amz-015,Milton Thermosteel Flip Lid Flask 1000ml
amz-016,Cello Puro Steel Water Bottle 900ml
amz-017,Prestige Electric Kettle 1.5 Litre
amz-018,Samsung Galaxy Tab A8 10.5 inch WiFi 64GB
amz-019,Samsung Clear View Cover for Galaxy S23
amz-020,Spigen Tough Armor Case for Samsung Galaxy S23
amz-021,HP 15s Ryzen 5 Laptop 16GB RAM 512GB SSD
amz-022,Lenovo IdeaPad 3 Intel i5 Laptop 8GB RAM
amz-023,Apple MacBook Air M2 Chip 256GB
amz-024,Boat Stone 180 Portable Bluetooth Speaker 5W
amz-025,JBL Go 3 Portable Waterproof Bluetooth Speaker
amz-026,Pigeon Non Stick Tawa 28cm Black
amz-027,Prestige Omega Deluxe Non Stick Cookware Set
amz-028,Bajaj Majesty New SWX 3 Sandwich Toaster
amz-029,Philips Trimmer for Men BT1230
amz-030,Syska Hair Dryer HD1610 1200 Watts
amz-031,Levi's Men Blue Slim Fit Mid Rise Jeans
amz-032,Allen Solly Men Formal Trousers Slim Fit
amz-033,Campus Sutra Men Casual Cotton T-Shirt
amz-034,Wildcraft Unisex Hiking Backpack 45 Litre
amz-035,American Tourister Casual Backpack 32 Litre
amz-036,Fastrack Analog Watch for Men NK3039SM01
amz-037,Titan Raga Women Rose Gold Watch
amz-038,boAt Wave Call Smart Watch with Bluetooth Calling
amz-039,Fire-Boltt Ninja Call Pro Plus Smartwatch
amz-040,Ambrane 10000mAh Lithium Polymer Power Bank
