doc_id,title,text
mov-001,The Shawshank Redemption,"A banker wrongly convicted of murdering his wife is sentenced to life in a brutal prison. Over two decades he quietly befriends a fellow inmate, maintains his innocence, and uses his financial skills to help corrupt guards. Through patience and a hidden tunnel dug with a tiny rock hammer, he eventually escapes to freedom on the coast of Mexico."
mov-002,The Godfather,"The aging patriarch of a powerful New York crime family transfers control of his empire to his reluctant youngest son. As rivals threaten the family business, the young man transforms from a war hero who wanted nothing to do with the family into a ruthless don who consolidates power through calculated violence and betrayal."
mov-003,The Dark Knight,"A masked vigilante and the police form an uneasy alliance to dismantle organized crime in a sprawling city. Their plans unravel when an anarchist criminal mastermind emerges, forcing the hero to confront the thin line between justice and chaos. The city's white knight district attorney is corrupted, and the vigilante takes the blame to preserve hope."
mov-004,Inception,"A skilled thief who steals secrets by entering people's dreams is offered a chance to have his criminal record erased. Instead of extracting information, he must plant an idea deep in a target's subconscious. He assembles a team and builds layered dream worlds, but his own buried guilt threatens to collapse the entire operation."
mov-005,Pulp Fiction,"Interlocking stories follow a pair of hitmen on assignment, their mob boss employer, a boxer paid to throw a fight, and two small-time robbers. The non-linear narrative weaves together a briefcase retrieval, a deadly overdose, an unexpected encounter in a pawn shop basement, and a diner holdup into a darkly comic mosaic of Los Angeles crime."
mov-006,Forrest Gump,"A slow-witted but kind-hearted man from Alabama stumbles through several decades of American history. He becomes a college football star, a Vietnam War hero, a ping-pong champion, and a shrimp boat captain, all while pining for his childhood sweetheart. His simple decency carries him through events that shape the nation."
mov-007,The Matrix,"A computer programmer discovers that reality as he knows it is a simulated world created by machines to pacify the human population. Freed by a group of rebels, he learns he may be the prophesied one destined to end the war between humans and artificial intelligence. He must master bending the rules of the simulation to survive."
mov-008,Fight Club,"A depressed office worker suffering from insomnia forms an underground fight club with a charismatic soap salesman. The club grows into an anarchist movement aimed at destroying consumer culture. The narrator gradually discovers a disturbing truth about his relationship with the enigmatic leader that calls his own identity into question."
mov-009,Interstellar,"With Earth's crops failing and humanity facing extinction, a former pilot is recruited for a last-chance mission through a wormhole near Saturn. The crew explores distant planets searching for a new home, confronting time dilation that makes hours on one planet equal years back home. The pilot must choose between seeing his children again and saving the species."
mov-010,The Lord of the Rings: The Fellowship of the Ring,"A young hobbit inherits a powerful ring that must be destroyed in the fires where it was forged. He sets out with a fellowship of elves, dwarves, men, and fellow hobbits on a perilous journey across a vast fantasy world. Dark forces pursue them relentlessly as the ring's corrupting influence tests every member of the group."
mov-011,Goodfellas,"A young man from a working-class neighborhood is drawn into the world of organized crime as a teenager. Rising through the ranks alongside two partners, he enjoys decades of wealth and power before paranoia, drug addiction, and betrayal bring it all crashing down. He ultimately enters witness protection, trading excitement for suburban anonymity."
mov-012,The Silence of the Lambs,"A young FBI trainee is assigned to interview an imprisoned cannibalistic psychiatrist to gain insight into an active serial killer case. The brilliant but manipulative prisoner offers clues in exchange for personal information about the agent. A tense psychological game develops as the trainee races to save the killer's latest victim."
mov-013,Gladiator,"A Roman general is betrayed by the corrupt emperor's son, who murders his family and sells him into slavery. Rising through the gladiatorial ranks, the former general fights his way to the Colosseum in Rome for a chance at vengeance against the man who destroyed his life. The roaring crowds become his unlikely path back to justice."
mov-014,Saving Private Ryan,"After the brutal D-Day invasion of Normandy, a captain leads a small squad behind enemy lines to find and bring home a paratrooper whose three brothers have all been killed in action. The mission raises difficult questions about risking eight lives to save one as the soldiers fight through war-torn France."
mov-015,Schindler's List,"A German industrialist and member of the Nazi party gradually transforms from a war profiteer into a protector of his Jewish workers during the Holocaust. Using his factory as a cover, he spends his fortune bribing officials to keep over a thousand people off the trains to the death camps."
mov-016,The Departed,"An undercover cop infiltrates a powerful crime syndicate while a mole from the same syndicate works inside the police department. Both organizations slowly realize they have a rat, setting off a deadly race as each infiltrator tries to identify the other before being exposed. Trust erodes from both sides."
mov-017,WALL-E,"A small waste-collecting robot is the last one still operating on an abandoned, garbage-covered Earth. When a sleek probe arrives to scan for plant life, the lonely robot follows it into space aboard a massive luxury starship where obese humans have lived for centuries. His determination inadvertently sparks humanity's return home."
mov-018,Up,"A grumpy elderly widower ties thousands of balloons to his house and flies to South America to fulfill a promise he made to his late wife. A young wilderness scout accidentally comes along for the ride. Together they encounter exotic birds, talking dogs, and a childhood hero turned villain in the remote jungle highlands."
mov-019,The Lion King,"A young lion cub is tricked by his jealous uncle into believing he caused his father's death. He flees into exile and grows up carefree in the wilderness with two unlikely friends. Years later he must return to reclaim his rightful place as king and confront the uncle who destroyed his family."
mov-020,Toy Story,"A cowboy doll who is a child's favorite toy becomes jealous when a flashy new space ranger action figure arrives. The two rivals end up lost together far from home and must cooperate to find their way back before the family moves to a new house. They discover that being owned by a child who loves them is what matters most."
mov-021,Jurassic Park,"A wealthy businessman invites scientists to preview his remote island theme park where dinosaurs have been cloned from ancient DNA. When a disgruntled employee sabotages the security systems during a tropical storm, the electric fences fail and the predators escape. The visitors must survive the island until rescue arrives."
mov-022,The Truman Show,"A man lives what he believes is a normal life in a perfect seaside town. He gradually discovers that his entire world is an elaborate television set, everyone around him is an actor, and his life has been broadcast to millions since birth. He resolves to escape the artificial dome and find the real world."
mov-023,Spirited Away,"A ten-year-old girl and her parents stumble into a mysterious spirit world while moving to a new town. When her parents are transformed into pigs by a witch, the girl must work in the witch's bathhouse for spirits and find a way to free her family and return to the human world."
mov-024,Parasite,"A poor family living in a basement apartment schemes their way into working for a wealthy family by posing as unrelated highly qualified professionals. As they enjoy the luxuries of the rich household, a hidden secret in the basement reveals an even darker layer of inequality. Class tensions explode violently during a birthday party."
mov-025,Get Out,"A young Black man visits his white girlfriend's family estate for a weekend. Beneath the family's liberal friendliness he notices increasingly disturbing behavior from the Black servants and guests. He uncovers a horrifying conspiracy that the family has been targeting Black visitors for a sinister medical procedure."
mov-026,Mad Max: Fury Road,"In a post-apocalyptic desert wasteland controlled by a tyrannical warlord, a captured drifter joins forces with a one-armed war captain who has smuggled the warlord's enslaved wives out in a modified war rig. A relentless high-speed chase across the desert follows as an armada of weaponized vehicles pursues them."
mov-027,The Grand Budapest Hotel,"A legendary concierge at a famous European hotel is framed for the murder of a wealthy elderly guest. With the help of his loyal lobby boy, he goes on the run while trying to prove his innocence and claim a priceless painting left to him in the victim's will. The story is told through nested layers of narrators."
mov-028,Whiplash,"A young jazz drummer enrolls at a prestigious music conservatory and catches the attention of a ruthless instructor. The teacher uses psychological abuse and physical intimidation to push his students beyond their limits. The relationship between student and mentor becomes an obsessive battle of wills over the price of greatness."
mov-029,Coco,"A young Mexican boy who dreams of becoming a musician defies his family's generations-old ban on music. On the Day of the Dead he accidentally crosses into the Land of the Dead and must seek the blessing of his deceased relatives to return home. He uncovers a long-buried family secret that changes everything."
mov-030,Jaws,"A massive great white shark begins attacking swimmers at a small New England beach town during peak tourist season. The police chief, a marine biologist, and a grizzled shark hunter set out on a boat to kill the creature. What begins as a simple hunt becomes a desperate fight for survival on the open ocean."
mov-031,Alien,"The crew of a commercial space freighter responds to a distress signal on a remote planet. One crew member is attacked by an organism that attaches to his face. After it detaches and he seems to recover, a lethal creature bursts from his chest and grows rapidly, hunting the crew through the ship's dark corridors one by one."
mov-032,Aliens,"A sole survivor from the first alien encounter is sent back to the infested planet with a squad of colonial marines after contact with a colony is lost. They find one surviving child and hundreds of creatures in a hive. The rescue mission turns into a desperate fight using pulse rifles and a cargo loader exosuit."
mov-033,Back to the Future,"A teenager accidentally travels thirty years into the past using a time machine built from a sports car by an eccentric scientist. He inadvertently prevents his parents from meeting and must arrange their first encounter at the school dance or he will cease to exist. He also must find a way to power the machine for the return trip."
mov-034,Die Hard,"An off-duty New York cop visits his estranged wife at her company Christmas party in a Los Angeles skyscraper. When a team of heavily armed thieves seizes the building and takes everyone hostage, the barefoot cop becomes the only person who can stop them, picking off the criminals one by one from inside the ventilation shafts."
mov-035,Titanic,"A young socialite engaged to a wealthy man falls in love with a penniless artist aboard the maiden voyage of the world's largest ocean liner. Their forbidden romance unfolds against the backdrop of class division as the ship strikes an iceberg and begins to sink. The disaster reveals who people truly are when survival is at stake."
mov-036,Avatar,"A paralyzed former marine is given a chance to walk again by remotely controlling a biological body on a lush alien moon rich in a valuable mineral. As he integrates with the indigenous population and falls in love, he must choose between following his military orders to displace the natives or defending their homeland."
mov-037,The Avengers,"When a powerful alien artifact falls into the hands of a vengeful demigod, a secret government agency assembles a team of extraordinary individuals. A super soldier, an armored billionaire, a Norse god, a scientist who transforms into a green giant, and two elite spies must overcome their clashing egos to repel an alien invasion of New York."
mov-038,Black Panther,"After the death of his father, a young prince returns to his technologically advanced but hidden African nation to assume the throne. His right to rule is challenged by a long-lost cousin raised in poverty who wants to use the nation's advanced weapons to arm oppressed people worldwide. The new king must defend his country and its secrets."
